Phrase,Author
fracaso implicó deshacerse innecesario dejé fingir misma ser comencé dedicar todas energías terminar único trabajo importaba,0
consiste firmar libros fotos publicitarias si quieres ser famoso dispuesto trabajar duro,0
todavía olvidado sabes si vas tener suficiente dinero pagar facturas tener pensar mayor lujo mundo,0
cualquier cosa posible si suficiente valor,0
esperanza mantiene siempre,0
creo destino sino trabajo duro suerte primero suelo conducir segundo,0
necesita gran valentía defender amigos mucha hacer frente enemigos,0
ten imaginación viva nunca sabes cuándo puedes necesitarla,0
debemos recordar muchas veces historia importante todas historia construyendo hoy día,0
si deseas ver grandeza real hombre observa forma trata inferiores iguales,0
felicidad sentimos ver comprender vida lista cosas debemos conseguir logros vida,0
luz oscuridad interior importan tomamos cuenta hora actuar define realmente,0
después mente bien organizada muerte siguiente gran aventura,0
verdad cosa terrible hermosa debe ser tratada gran cuidado,0
imaginación siempre viva nunca sabes vas necesitarla,0
único da miedo asomamos muerte oscuridad desconocido,0
único quiero ver analgésico,0
dudley alcanzado tamaño peso ballena asesina joven,0
forma sólo puedo compartir cuerpo siempre seres deseosos dejarme entrar corazones,0
podía ser amigos parientes siquiera socio biblioteca así nunca recibido notas reclamarán devolución libros embargo allí carta dirigida manera tan clara equivocación posible,0
gente haría cualquier cosa fingir magia existe incluso delante narices,0
felicidad puede encontrar incluso momentos oscuros,0
tiempo transcurre despacio espera desagradable,0
elfo trabaja incómodo trabaja bien entonces buen elfo,0
veces indiferencia frialdad causan daño aversión declarada,0
caso duda ve biblioteca,0
diferencias costumbres lengua absoluto si propósitos mismos mostramos abiertos,0
comprensión primer paso aceptación sólo aceptando puede recuperarse,0
verdad siempre preferible mentiras,0
menor idea dónde vienen ideas espero saberlo nunca,0
cosa creo siento rebelde,0
tal vez apropiados tener poder aquellos nunca buscaron aquellos liderazgo toman riendas deben hacerlo descubren propio asombro hacen bien,0
historias amamos viven siempre así vuelvas páginas gran pantalla hogwarts siempre allí darte bienvenida casa,0
ser gordo peor ser humano puede ser peor ser gordo ser vengativo envidioso superficial vano aburrido cruel,0
destino palabra usamos describir decisiones tomamos pasado consecuencias dramáticas,0
opinión palabras fuente grande magia capaces dañar sanar alguien,0
necesitamos magia cambiar mundo poder interior poder imaginar mundo mejor,0
grandeza inspira envidia envidia engendra rencor rencor produce mentiras,0
importa cómo nacemos si convertimos,0
elegir correcto fácil,0
valoro coraje cualquier cosa,0
importante recordar magia dentro,0
sufrir mínimo fracaso vida inevitable imposible vivir fracasar ser viva tanta precaución podría decirse entonces vivido absoluto,0
bueno dejarse arrastrar sueños olvidarse vivir recuérdalo,0
gente encuentra fácil perdonar haberse equivocado haber razón,0
decisiones muestran podemos llegar ser propias habilidades,0
cuanto dragones dijo sirius hablando aquel momento manera harry ocurra emplear encantamiento aturdidor dragones demasiado fuertes demasiadas cualidades mágicas haga efecto solo encantamiento tipo,0
mejor morir traicionar amigos,0
miedo miedo,0
hecho pobre corazón detrás,0
harry podía soportaba ser nunca tan atrapado propia mente propio cuerpo nunca deseado tanta intensidad ser persona tener cualquier identidad,0
nunca confíes piense solo si puedes entender cerebro,0
busco problemas problemas normalmente encuentran,0
opresores comprenden tarde temprano muchas víctimas menos algún día alzará plantará cara,0
miedo nombre aumenta miedo cosa nombra,0
cicatrices pueden ser útiles rodilla izquierda diagrama perfecto metro londres,0
veces pensar propia seguridad veces pensar bien mayor,0
dinero vida pueda desear dos cosas mayor parte seres humanos elegirían problema humanos don elegir precisamente cosas peores,0
digo señor ministro discrepo dumbledore aspectos podrá negar,0
hecho poseas variedad emociones cucharilla significa así,0
oír voces nadie puede escuchar buena señal siquiera magos,0
bostezó forma cicatrices rostro tensaron boca torcida reveló faltaban cuantos dientes,0
cuanto insinúo quiero dejarlo aferra salir calamar gigante,0
madre murió salvarte si voldemort puede entender amor dio cuenta amor tan poderoso madre hacia deja marcas poderosas cicatriz signo visible haber sido amado tan profundamente aunque persona amó deja siempre protección piel,0
realmente curioso cómo suceden cosas varita escoge mago recuérdalo creo debemos esperar grandes cosas harry potter después hizo grandes cosas terribles grandiosas,0
compadezcas muerte harry compadécete vida viven amor,0
regalo bello vida dio quería mucha gente quiere muchas cosas hacer muchas razones luchar vivir entiendo triste pasé parecido personas amamos van jamás basta olvidemos,0
ahora harry adentrémonos noche prosigamos peligrosa indeseable aventura,0
cosas suceden evitarlo puede hacer alcance,0
bien mal sólo poder personas demasiado débiles buscarlo,0
música enjugándose ojos magia allá hacemos aquí,0
cerca escaparate brillaba tortuga gigante joyas incrustadas caparazón,0
hechizo trataré enseñarte magia avanzada bueno encima nivel corriente embrujo,0
harry potter piedra filosofal,0
fuerza convicciones determina éxito número seguidores,0
dolor parte ser hecho puedas sentir dolor así mayor fortaleza,0
emocionante romper reglas,0
vida riesgo,0
cosas perdemos manera volver siempre manera esperamos,0
bueno quedarse sentado preocupado va venir vendrá enfrentaremos,0
importante luchar volver luchar seguir luchando mal tan solo puede mantenerse raya nunca erradicarse,0
tiempos malos sacan mejor peor,0
consecuencias acciones siempre tan complicadas diversas predecir futuro vuelve verdaderamente difícil,0
tan fuertes unidos tan débiles divididos,0
podemos escoger destino podemos escoger destino sé cuidadoso saber,0
adormecer dolor momento hará tan solo vuelva peor finalmente sintamos,0
cosas pueden compartir llegar volverse amigos vencer troll doce pies,0
disculpa gusta gente sólo guapa,0
das cuenta sábanas cambian fuego enciende aulas limpias comida preparada grupo criaturas mágicas pagar esclavizadas,0
cada vida humana vale mismo vale pena salvarla,0
sra dursley número cuatro privet drive enorgullecieron decir perfectamente normales muchas gracias,0
salió primer libro editorial pensó libro atraerá niños querían lectores supieran escrito mujer,0
hufflepuff casa favorita,0
juro solemnemente intenciones buenas,0
vine hotel precioso intención quedarme pienso escritores supersticiosos primer día escribí bien así seguí viniendo aquí terminé último libros harry potter,0
creo clínicamente trastornada si imaginado ocurrido,0
terminé entré ligero conmoción,0
escrito mucha basura necesariamente basura maliciosa cosas exageran alteran,0
iba tren manchester londres ahí sentada pensar ver escribir idea vino así vi harry clarísimamente chavalín flacucho sentí emoción fuerte,0
sé describir emoción sentí alguien escriba habitualmente sentimiento alegría parecido conocer alguien crees puedes acabar enamorándote tipo sentimiento bajar tren si conocido alguien maravilloso,0
cualquiera parentesco belleza desarrollo supremo induce lágrimas inevitablemente almas sensibles,1
amor desinteresado animal sacrificio mismo llega directamente corazón frecuencia ocasión comprobar amistad mezquina frágil fidelidad hombre natural,1
loco parece completamente sensato momento ponerle camisa fuerza,1
corrupción gusto forma parte industria dólares hace juego,1
hombres genio abundan supone realidad apreciar plenamente obra llamamos genio hace falta poseer genio necesitó producir obra,1
verdaderamente valiente aquel hombre teme parecer ser cuadra cobarde,1
ciencia enseñado aún si locura sublime inteligencia,1
música acaso alma acerca gran fin lucha inspirada sentimiento poético creación belleza sobrenatural,1
crítica valiente severo absolutamente justo amigos enemigos cambiará propósito,1
todas obras arte deben empezar final,1
si pidiera definiera pocas palabras término arte llamaría reproducción perciben naturaleza través velo alma,1
vemos parecemos solamente sueño dentro sueño,1
fe perfección humana hombre ahora activo feliz inteligente hace años,1
dudoso género humano logre crear enigma mismo ingenio humano resuelva,1
muerte toma frente valor después invita copa,1
volví loco largos intervalos horrible cordura,1
gran fe tontos autoconfianza llaman amigos,1
cree solo mitad veas escuches,1
único medio conservar hombre libertad siempre dispuesto morir,1
tal vez propia simplicidad asunto conduce error,1
muerte mujer hermosa duda tema poético mundo,1
movimiento cualquiera causa creador,1
perpetua inclinación pese excelencia juicio violar ley simplemente comprendemos ley,1
amábamos amor amor,1
poesía sido propósito sino pasión,1
creyente feliz duda sabio,1
noche pavorosa inquieto releía vetusto mamotreto creí escuchar extraño ruido,1
años amor sido olvidados odio minuto,1
quedé demasiado dentro cabeza terminé perdiendo cabeza,1
intención soportar puedo dejar,1
profundo tierra amor miente debo llorar solo,1
mentira viaja alrededor mundo mientras verdad pone botas,1
siendo joven sumergido locura enamoré melancolía,1
temo eventos futuro mismos sino resultados,1
confundes locura sobreactivación,1
sufrimiento proviene anhelo apego deseo,1
monstruos temibles esconden almas,1
cotillean contigo chismorrearán,1
poesía creación rítmica belleza palabras,1
elevar alma poesía necesaria,1
crees loco locos saben deberías haberme visto deberías haber visto tan sabiamente,1
risa debe ser gloriosa todas gloriosas muertes,1
si quedas ideas sigue camino llegarás allí,1
si hombre engaña vez avergüenzo si engaña dos veces siento lástima,1
noche lluvia caía cayendo lluvia caído sangre,1
límites dividen vida muerte mejor casos sombríos vagos dirá dónde termina dónde comienza,1
aquellos sueñan día conscientes muchas cosas escapan aquellos solo sueñan noche,1
intención aguantar pueda reprimir,1
mantén siempre botella licor lado si pájaro comienza decir tonterías medio noche sírvete copa,1
felicidad maravillarse felicidad soñar,1
lugar mancha cuyo nombre quiero,1
locura desatino lleva contar ajenas faltas decir,1
vale pena rostro mancha corazón,1
abundancia cosas aunque buenas hace estimen carestía aún malas estima,1
ayer lloraba hoy ríe hoy llora ayer rió,1
hacer bien villanos echar agua mar,1
amor deseo dos cosas diferentes ama desea desea ama,1
si celos señales amor calentura hombre enfermo tenerla señal tener vida vida enferma mal dispuesta,1
libertad sancho preciosos dones hombres dieron cielos pueden igualarse tesoros encierran tierra mar libertad así honra puede debe aventurar vida,1
retirada derrota,1
promesas enamorados mayor parte ligeras prometer pesadas cumplir,1
lee anda va sabe,1
cólera sale madre lengua padre ayo freno corrija,1
tal vez llaneza humildad suelen esconderse regocijos aventajados,1
juzgo discierno cosa cierta notoria amor gloria puertas infierno,1
dad crédito obras palabras,1
confía tiempo suele dar dulces salidas muchas amargas dificultades,1
quiero ser malo esperanza ser bueno bueno propósito ser malo,1
recuerdo tiempo borre pena muerte acabe,1
tristezas hicieron bestias sino hombres si hombres sienten demasiado vuelven bestias,1
aún demonios peores malos hombres suele haber alguno bueno,1
cada artífice propia ventura,1
gente bien nacida agradecer beneficios recibe,1
siempre riguroso siempre blando escoge dos extremos ello punto discreción,1
desees hombre rico mundo,1
culpa asno echar albarda,1
sé lento lengua rápido ojo,1
alabanza buena cuanto bueno dice mala malo vicioso alaba,1
sueño alivio miserias sufren despiertos,1
sabe tonto casa sabio ajena,1
buen arrepentimiento mejor medicina enfermedades alma,1
cada dios hizo aún peor muchas veces,1
ningún camino acabe oponga pereza ociosidad,1
amor junta cetros cayados grandeza bajeza hace posible imposible iguala diferentes viene ser poderoso muerte,1
pocas ninguna vez cumple ambición daño tercero,1
andar tierras comunicar diversas gentes hace hombres discretos,1
posible merced sabe comparaciones hacen ingenio ingenio valor valor hermosura hermosura linaje linaje siempre odiosas mal recibidas,1
vale toma dos daré,1
miserias suele ser alivio compañía,1
venganzas castigan quitan culpas,1
puede haber amor celos temores,1
verdad adelgaza quiebra,1
hombre bien preparado lucha conseguido medio triunfo,1
senda virtud estrecha camino vicio ancho espacioso,1
sabe gozar aventura viene debe quejarse si pasa,1
llaman ahí fortuna mujer borracha antojadiza ciega así ve hace sabe derriba,1
sé breve razonamientos ninguno gustoso si largo,1
ames sino puedes llegar ser,1
ingratitud hija soberbia,1
falsedad alas vuela verdad sigue arrastrándose modo gentes dan cuenta engaño demasiado tarde,1
